#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
0.5    1e+11    1e+11    0    0    -2.55536e-16    -2.55536e-16    
1    1e+11    1e+11    9.80715e-09    -3.50952e-15    -1.27768e-16    6.38841e-16    
1.5    1e+11    1e+11    1.15897e-08    5.95093e-15    5.11073e-16    5.11073e-16    
2    1e+11    1e+11    1.61395e-08    1.06812e-15    -1.14991e-15    0    
2.5    1e+11    1e+11    1.97925e-08    5.64575e-15    7.66609e-16    8.94378e-16    
3    1e+11    1e+11    2.37227e-08    3.35693e-15    -2.55536e-16    -2.55536e-16    
3.5    1e+11    1e+11    2.7702e-08    3.05176e-15    -1.02215e-15    -1.14991e-15    
4    1e+11    1e+11    3.1435e-08    2.89917e-15    2.29983e-15    2.04429e-15    
4.5    1e+11    1e+11    3.41325e-08    1.06812e-15    1.27768e-15    1.14991e-15    
5    1e+11    1e+11    3.64975e-08    5.0354e-15    1.14991e-15    2.04429e-15    
5.5    1e+11    1e+11    3.79513e-08    4.57764e-16    1.02215e-15    5.11073e-16    
6    1e+11    1e+11    3.81901e-08    5.18799e-15    -1.27768e-16    5.11073e-16    
6.5    1e+11    1e+11    3.90857e-08    -3.8147e-15    -1.14991e-15    -5.11073e-16    
7    1e+11    1e+11    4.01336e-08    4.73022e-15    -1.02215e-15    -1.40545e-15    
7.5    1e+11    1e+11    3.8778e-08    4.57764e-15    0    6.38841e-16    
8    1e+11    1e+11    3.72495e-08    -2.59399e-15    2.55536e-16    -6.38841e-16    
8.5    1e+11    1e+11    3.52452e-08    1.06812e-15    5.11073e-16    1.02215e-15    
9    1e+11    1e+11    3.32486e-08    4.73022e-15    1.14991e-15    2.55536e-16    
9.5    1e+11    1e+11    3.14012e-08    1.67847e-15    1.78876e-15    2.17206e-15    
10    1e+11    1e+11    2.56739e-08    3.35693e-15    2.04429e-15    2.4276e-15    
10.5    1e+11    1e+11    1.89514e-08    -4.42505e-15    0    -5.11073e-16    
11    1e+11    1e+11    1.14354e-08    -7.62939e-16    -1.27768e-16    3.83305e-16    
11.5    1e+11    1e+11    3.6342e-09    5.79834e-15    -1.91652e-15    -2.4276e-15    
12    1e+11    1e+11    -6.3229e-10    6.10352e-15    1.27768e-16    3.83305e-16    
12.5    1e+11    1e+11    -8.32049e-09    -6.10352e-15    1.27768e-16    0    
13    1e+11    1e+11    -1.57339e-08    4.73022e-15    1.27768e-16    3.83305e-16    
13.5    1e+11    1e+11    -2.15874e-08    -6.71387e-15    8.94378e-16    7.66609e-16    
14    1e+11    1e+11    -2.71689e-08    -2.13623e-15    1.40545e-15    8.94378e-16    
14.5    1e+11    1e+11    -3.17655e-08    -2.74658e-15    3.83305e-16    -1.27768e-16    
15    1e+11    1e+11    -3.37206e-08    -3.66211e-15    -1.66099e-15    -1.14991e-15    
15.5    1e+11    1e+11    -3.80175e-08    5.34058e-15    -1.40545e-15    -2.55536e-16    
16    1e+11    1e+11    -4.1629e-08    0    -2.04429e-15    -2.55536e-16    
16.5    1e+11    1e+11    -4.26809e-08    -3.05176e-16    -5.11073e-15    -1.40545e-15    
17    1e+11    1e+11    -4.1885e-08    2.13623e-15    -6.77172e-15    -1.02215e-15    
17.5    1e+11    1e+11    -4.10337e-08    -1.83105e-15    -8.30493e-15    1.27768e-16    
18    1e+11    1e+11    -4.30428e-08    3.8147e-15    -1.11158e-14    8.94378e-16    
18.5    1e+11    1e+11    -4.27506e-08    1.52588e-15    -1.73765e-14    -1.02215e-15    
19    1e+11    1e+11    -4.07215e-08    1.2207e-15    -1.94208e-14    -1.53322e-15    
19.5    1e+11    1e+11    -3.97152e-08    2.74658e-15    -1.68654e-14    -6.38841e-16    
20    1e+11    1e+11    -3.67885e-08    0    -1.12436e-14    -1.02215e-15    
20.5    1e+11    1e+11    -3.10897e-08    4.73022e-15    3.57751e-15    -1.91652e-15    
21    1e+11    1e+11    -2.3548e-08    6.10352e-15    3.3603e-14    1.27768e-16    
21.5    1e+11    1e+11    -1.8408e-08    1.67847e-15    7.95996e-14    6.38841e-16    
22    1e+11    1e+11    -1.49604e-08    -2.44141e-15    1.45784e-13    2.55536e-16    
22.5    1e+11    1e+11    -1.02955e-08    3.8147e-15    2.38671e-13    -2.55536e-16    
23    1e+11    1e+11    -5.39565e-09    3.35693e-15    3.63501e-13    -2.55536e-16    
23.5    1e+11    1e+11    6.56128e-10    -2.13623e-15    5.12351e-13    1.02215e-15    
24    1e+11    1e+11    6.37501e-09    2.59399e-15    6.78321e-13    -1.66099e-15    
24.5    1e+11    1e+11    1.18983e-08    4.57764e-16    8.44548e-13    -2.04429e-15    
25    1e+11    1e+11    1.82009e-08    2.74658e-15    9.79343e-13    1.27768e-15    
25.5    1e+11    1e+11    2.4076e-08    2.89917e-15    1.04233e-12    3.06644e-15    
26    1e+11    1e+11    2.91582e-08    -5.0354e-15    9.82665e-13    0    
26.5    1e+11    1e+11    3.39927e-08    -2.59399e-15    7.28534e-13    -5.11073e-16    
27    1e+11    1e+11    3.74325e-08    6.10352e-16    1.80664e-13    -1.53322e-15    
27.5    1e+11    1e+11    3.9876e-08    -9.15527e-16    -7.50894e-13    1.27768e-16    
28    1e+11    1e+11    4.22258e-08    3.8147e-15    -2.25179e-12    -1.53322e-15    
28.5    1e+11    1e+11    4.59497e-08    7.93457e-15    -4.38577e-12    1.66099e-15    
29    1e+11    1e+11    5.038e-08    -1.06812e-15    -7.20677e-12    1.91652e-15    
29.5    1e+11    1e+11    5.52787e-08    2.28882e-15    -1.08064e-11    -5.11073e-16    
30    1e+11    1e+11    6.06404e-08    4.11987e-15    -1.50634e-11    -6.38841e-16    
30.5    1e+11    1e+11    6.48909e-08    5.49316e-15    -1.98452e-11    2.17206e-15    
31    1e+11    1e+11    6.92563e-08    -2.28882e-15    -2.51177e-11    1.78876e-15    
31.5    1e+11    1e+11    7.47421e-08    -3.20435e-15    -3.10171e-11    1.27768e-15    
32    1e+11    1e+11    8.17033e-08    5.0354e-15    -3.71103e-11    -2.04429e-15    
32.5    1e+11    1e+11    8.71453e-08    3.05176e-16    -4.19894e-11    -3.32197e-15    
33    1e+11    1e+11    9.08803e-08    1.37329e-15    -4.44783e-11    -2.29983e-15    
33.5    1e+11    1e+11    9.47143e-08    -3.05176e-15    -4.37712e-11    -3.83305e-16    
34    1e+11    1e+11    9.61746e-08    -5.18799e-15    -3.83942e-11    -7.66609e-16    
34.5    1e+11    1e+11    9.72225e-08    3.8147e-15    -2.75033e-11    -2.04429e-15    
35    1e+11    1e+11    9.88167e-08    2.74658e-15    -8.87491e-12    -5.11073e-16    
35.5    1e+11    1e+11    9.9404e-08    1.83105e-15    2.00767e-11    2.55536e-16    
36    1e+11    1e+11    9.97284e-08    -2.13623e-15    6.07971e-11    1.27768e-16    
36.5    1e+11    1e+11    9.98842e-08    1.06812e-15    1.14492e-10    2.17206e-15    
37    1e+11    1e+11    1.00367e-07    1.2207e-15    1.82968e-10    -1.91652e-15    
37.5    1e+11    1e+11    1.01299e-07    1.2207e-15    2.66988e-10    1.27768e-16    
38    1e+11    1e+11    1.01449e-07    -3.05176e-15    3.70084e-10    -3.32197e-15    
38.5    1e+11    1e+11    1.01837e-07    2.44141e-15    4.85423e-10    -1.27768e-15    
39    1e+11    1e+11    1.01319e-07    7.62939e-16    6.1508e-10    1.66099e-15    
39.5    1e+11    1e+11    1.0187e-07    -1.2207e-15    7.50909e-10    -1.27768e-16    
40    1e+11    1e+11    1.02014e-07    -1.67847e-15    8.9585e-10    3.83305e-16    
40.5    1e+11    1e+11    1.0187e-07    -1.52588e-15    1.04274e-09    1.14991e-15    
41    1e+11    1e+11    1.03293e-07    3.05176e-16    1.17992e-09    5.11073e-16    
41.5    1e+11    1e+11    1.05429e-07    -9.15527e-16    1.28459e-09    -2.17206e-15    
42    1e+11    1e+11    1.08633e-07    -3.35693e-15    1.34885e-09    -3.83305e-16    
42.5    1e+11    1e+11    1.12982e-07    -2.44141e-15    1.35611e-09    -1.02215e-15    
43    1e+11    1e+11    1.16851e-07    3.96729e-15    1.28515e-09    0    
43.5    1e+11    1e+11    1.22449e-07    -4.57764e-16    1.12267e-09    1.14991e-15    
44    1e+11    1e+11    1.28878e-07    5.64575e-15    8.40043e-10    1.02215e-15    
44.5    1e+11    1e+11    1.34242e-07    0    4.06892e-10    2.04429e-15    
45    1e+11    1e+11    1.37578e-07    -3.20435e-15    -2.14268e-10    -1.02215e-15    
45.5    1e+11    1e+11    1.41134e-07    3.05176e-16    -1.04799e-09    -2.55536e-16    
46    1e+11    1e+11    1.46115e-07    -9.15527e-16    -2.102e-09    2.29983e-15    
46.5    1e+11    1e+11    1.51978e-07    -1.98364e-15    -3.42807e-09    1.66099e-15    
47    1e+11    1e+11    1.57149e-07    -4.88281e-15    -4.97163e-09    -2.55536e-16    
47.5    1e+11    1e+11    1.6127e-07    0    -6.76344e-09    -2.68313e-15    
48    1e+11    1e+11    1.66107e-07    1.83105e-15    -8.80557e-09    -1.27768e-16    
48.5    1e+11    1e+11    1.71081e-07    9.15527e-16    -1.11749e-08    1.40545e-15    
49    1e+11    1e+11    1.76782e-07    1.52588e-15    -1.38058e-08    2.55536e-16    
49.5    1e+11    1e+11    1.84152e-07    -5.0354e-15    -1.66485e-08    3.83305e-16    
50    1e+11    1e+11    1.90633e-07    -3.66211e-15    -1.95077e-08    -2.93867e-15    
50.5    1e+11    1e+11    1.98729e-07    2.59399e-15    -2.23907e-08    -7.66609e-16    
51    1e+11    1e+11    2.06934e-07    4.27246e-15    -2.51883e-08    -2.55536e-16    
51.5    1e+11    1e+11    2.15953e-07    1.52588e-16    -2.78367e-08    -1.14991e-15    
52    1e+11    1e+11    2.28824e-07    6.10352e-16    -3.029e-08    -1.40545e-15    
52.5    1e+11    1e+11    2.43443e-07    -1.67847e-15    -3.2313e-08    -6.38841e-16    
53    1e+11    1e+11    2.55756e-07    -2.44141e-15    -3.36274e-08    2.4276e-15    
53.5    1e+11    1e+11    2.70304e-07    -4.73022e-15    -3.41588e-08    -5.11073e-16    
54    1e+11    1e+11    2.93167e-07    1.98364e-15    -3.37741e-08    1.78876e-15    
54.5    1e+11    1e+11    3.15846e-07    -1.67847e-15    -3.19601e-08    -2.68313e-15    
55    1e+11    1e+11    3.33625e-07    4.57764e-16    -2.83431e-08    1.02215e-15    
55.5    1e+11    1e+11    3.46128e-07    1.2207e-15    -2.28562e-08    -6.38841e-16    
56    1e+11    1e+11    3.58679e-07    -1.52588e-15    -1.52502e-08    1.66099e-15    
56.5    1e+11    1e+11    3.72556e-07    1.06812e-15    -5.30527e-09    -2.68313e-15    
57    1e+11    1e+11    3.83571e-07    -4.57764e-15    7.13688e-09    -7.66609e-16    
