#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
0.5    1e+11    1e+11    -5.29033e-09    -5.29033e-09    1.65942e-15    1.65942e-15    
1    1e+11    1e+11    2.90133e-06    2.90133e-06    1.40412e-15    1.40412e-15    
1.5    9.99892e+10    9.99892e+10    -0.000107914    -0.000107914    -2.04236e-15    -2.04236e-15    
2    9.99948e+10    9.99948e+10    -5.21628e-05    -5.21628e-05    8.93532e-16    8.93532e-16    
2.5    1e+11    1e+11    3.86924e-06    3.86924e-06    2.55295e-16    2.55295e-16    
3    9.99949e+10    9.99949e+10    -5.14261e-05    -5.14261e-05    -2.55295e-16    -2.55295e-16    
3.5    9.99893e+10    9.99893e+10    -0.00010677    -0.00010677    8.93532e-16    8.93532e-16    
4    9.99839e+10    9.99839e+10    -0.000161455    -0.000161455    7.65885e-16    7.65885e-16    
4.5    9.9984e+10    9.9984e+10    -0.000160387    -0.000160387    -1.14883e-15    -1.14883e-15    
5    9.99729e+10    9.99729e+10    -0.000271264    -0.000271264    -1.40412e-15    -1.40412e-15    
5.5    9.99952e+10    9.99952e+10    -4.76334e-05    -4.76334e-05    2.55295e-15    2.55295e-15    
6    1.00001e+11    1.00001e+11    8.38698e-06    8.38698e-06    -6.38237e-16    -6.38237e-16    
6.5    1.00006e+11    1.00006e+11    6.49626e-05    6.49626e-05    -5.1059e-16    -5.1059e-16    
7    1.00001e+11    1.00001e+11    1.03692e-05    1.03692e-05    -5.1059e-16    -5.1059e-16    
7.5    9.99844e+10    9.99844e+10    -0.000156181    -0.000156181    -1.14883e-15    -1.14883e-15    
8    9.99789e+10    9.99789e+10    -0.000211112    -0.000211112    -1.02118e-15    -1.02118e-15    
8.5    9.9979e+10    9.9979e+10    -0.000210008    -0.000210008    2.04236e-15    2.04236e-15    
9    9.99846e+10    9.99846e+10    -0.000153861    -0.000153861    -1.65942e-15    -1.65942e-15    
9.5    9.99902e+10    9.99902e+10    -9.7818e-05    -9.7818e-05    1.27647e-16    1.27647e-16    
