#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
1    1e+11    1e+11    5.52656e-10    -2.4414e-15    2.55698e-16    2.55698e-16    
2    1.00071e+11    1e+11    0.000704688    -2.4414e-15    -3.83548e-16    2.55698e-16    
3    1.0005e+11    1e+11    0.000496178    -2.13623e-15    1.04305e-11    -3.83548e-16    
4    1.00073e+11    1e+11    0.000730294    -1.2207e-15    9.2805e-11    0    
5    1.00096e+11    1e+11    0.000956244    -1.37329e-15    4.55435e-10    -2.55698e-16    
6    1.00097e+11    1e+11    0.000971217    6.1035e-16    6.4619e-10    -3.83548e-16    
7    1.00053e+11    1e+11    0.000533191    -2.13623e-15    2.71721e-10    -3.83548e-16    
8    1.00033e+11    1e+11    0.000330577    -9.15526e-16    -1.74424e-09    1.53419e-15    
9    1.00035e+11    1e+11    0.000351175    -2.4414e-15    -6.46342e-09    -7.67095e-16    
10    1.00059e+11    1e+11    0.000591425    -6.1035e-16    -1.42361e-08    -2.55698e-16    
11    1.00061e+11    1e+11    0.000609843    -2.13623e-15    -2.532e-08    3.83548e-16    
12    1.0004e+11    1e+11    0.000400313    -4.27245e-15    -3.8345e-08    3.83548e-16    
13    1.00042e+11    1e+11    0.000419548    -1.2207e-15    -5.07362e-08    -1.27849e-16    
14    1.00022e+11    1e+11    0.000213966    7.62938e-16    -5.73179e-08    -5.11397e-16    
15    1.00001e+11    1e+11    6.77916e-06    -2.4414e-15    -5.21038e-08    -2.55698e-16    
16    9.99805e+10    1e+11    -0.000197048    7.62938e-16    -2.60805e-08    2.04559e-15    
17    9.99832e+10    1e+11    -0.000170167    -3.20434e-15    2.64752e-08    -1.91774e-15    
18    1.00008e+11    1e+11    7.51419e-05    -2.74658e-15    1.05894e-07    1.02279e-15    
19    1.0001e+11    1e+11    9.59421e-05    -2.74658e-15    2.16288e-07    5.11397e-16    
20    9.99896e+10    1e+11    -0.000106057    -6.1035e-16    3.74643e-07    -1.02279e-15    
21    1.00035e+11    1e+11    0.000349776    -3.50952e-15    4.62943e-07    -5.11397e-16    
22    1.00038e+11    1e+11    0.00037471    3.05175e-16    6.89771e-07    -2.55698e-16    
23    1.00041e+11    1e+11    0.00040341    -9.15526e-16    9.54728e-07    1.27849e-16    
24    1.00021e+11    1e+11    0.000204214    3.05175e-16    1.24079e-06    7.67095e-16    
25    1.00046e+11    1e+11    0.000456598    -1.06811e-15    1.51721e-06    5.11397e-16    
26    1.00048e+11    1e+11    0.000481896    7.62938e-16    1.73904e-06    1.27849e-16    
27    1.00028e+11    1e+11    0.000278609    -7.62938e-16    1.87881e-06    7.67095e-16    
28    1.00009e+11    1e+11    8.98409e-05    -2.4414e-15    1.97066e-06    2.55698e-16    
29    1.00012e+11    1e+11    0.000121153    -2.4414e-15    1.76883e-06    -2.55698e-16    
30    9.9995e+10    1e+11    -5.16144e-05    -3.05175e-16    1.37874e-06    2.55698e-16    
31    9.99992e+10    1e+11    -9.54044e-06    -3.81469e-15    4.44106e-07    -1.66204e-15    
32    1.00003e+11    1e+11    2.54117e-05    1.52588e-15    -7.82307e-07    1.27849e-15    
33    9.99602e+10    1e+11    -0.000400231    -7.62938e-16    -2.49134e-06    2.42914e-15    
34    9.99406e+10    1e+11    -0.000595777    -2.89916e-15    -4.4974e-06    1.91774e-15    
35    9.99452e+10    1e+11    -0.000549852    -2.28881e-15    -7.01922e-06    1.27849e-15    
36    9.99694e+10    1e+11    -0.000307298    3.05175e-16    -7.14498e-06    -2.30129e-15    
37    9.99524e+10    1e+11    -0.000477732    -1.37329e-15    -1.00558e-05    1.53419e-15    
38    9.99744e+10    1e+11    -0.000257288    -1.98364e-15    -8.59218e-06    5.11397e-16    
39    9.99553e+10    1e+11    -0.000448439    -3.50952e-15    -1.30406e-05    1.66204e-15    
40    9.99375e+10    1e+11    -0.000626565    7.62938e-16    -1.8632e-05    -5.11397e-16    
41    9.99656e+10    1e+11    -0.000346207    -3.05175e-16    -2.47002e-05    1.15064e-15    
42    9.99911e+10    1e+11    -9.09209e-05    -4.11987e-15    -2.97806e-05    -2.55698e-16    
43    9.99744e+10    1e+11    -0.000257936    -2.4414e-15    -3.60995e-05    2.55698e-16    
44    1.00045e+11    1e+11    0.000447428    -3.96728e-15    -3.70953e-05    8.94944e-16    
45    1.0005e+11    1e+11    0.000496871    -3.05175e-16    -4.27728e-05    0    
46    1.00009e+11    1e+11    9.15393e-05    -2.13623e-15    -4.79381e-05    1.15064e-15    
47    1.00014e+11    1e+11    0.000136629    9.15526e-16    -5.32826e-05    6.39246e-16    
48    9.99782e+10    1e+11    -0.000219776    3.05175e-16    -6.07844e-05    1.66204e-15    
49    1.00006e+11    1e+11    6.28123e-05    -2.74658e-15    -6.38512e-05    5.11397e-16    
50    1.00014e+11    1e+11    0.000142462    1.37329e-15    -6.37651e-05    1.15064e-15    
51    9.99763e+10    1e+11    -0.000239085    -2.13623e-15    -5.97023e-05    1.27849e-16    
52    9.99664e+10    1e+11    -0.000337589    -4.57763e-16    -2.12228e-05    0    
53    9.9953e+10    1e+11    -0.000471282    -1.98364e-15    -1.19734e-05    -1.27849e-16    
54    9.99843e+10    1e+11    -0.000158997    -1.67846e-15    1.02483e-05    3.83548e-16    
55    9.99726e+10    1e+11    -0.000275338    -3.05175e-16    3.80203e-05    -3.83548e-16    
56    9.99832e+10    1e+11    -0.000169564    -1.06811e-15    7.32818e-05    1.53419e-15    
57    9.99748e+10    1e+11    -0.000254003    -2.13623e-15    0.000115123    1.27849e-16    
58    9.99845e+10    1e+11    -0.000156546    -4.57763e-16    0.000169176    -8.94944e-16    
59    9.99741e+10    1e+11    -0.000261191    -4.57763e-16    0.000225951    1.40634e-15    
60    9.9984e+10    1e+11    -0.000162174    -3.20434e-15    0.000303103    -1.78989e-15    
61    9.99959e+10    1e+11    -4.29922e-05    -2.4414e-15    0.00039648    -1.15064e-15    
62    1.0003e+11    1e+11    0.000300926    1.52588e-16    0.000505943    6.39246e-16    
63    1.00041e+11    1e+11    0.000409871    -2.28881e-15    0.000632931    6.39246e-16    
64    1.0003e+11    1e+11    0.000296754    -9.15526e-16    0.000781136    -1.27849e-16    
65    1.00017e+11    1e+11    0.000170537    -2.89916e-15    0.000948415    1.27849e-16    
66    1.00018e+11    1e+11    0.000179209    -4.27245e-15    0.00118411    1.53419e-15    
67    1.00033e+11    1e+11    0.000323313    -4.57763e-16    0.00140043    -2.55698e-16    
68    1.00001e+11    1e+11    4.13103e-06    -2.4414e-15    0.00175125    0    
69    1.00004e+11    1e+11    3.92791e-05    -2.4414e-15    0.00211405    5.11397e-16    
70    1.00018e+11    1e+11    0.000180428    -1.67846e-15    0.00241804    1.78989e-15    
71    1.00035e+11    1e+11    0.000343755    -1.67846e-15    0.00277179    7.67095e-16    
72    1.0001e+11    1e+11    9.5028e-05    -6.1035e-16    0.0032033    1.02279e-15    
