#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
0.5    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
1    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
1.5    1e+11    1e+11    0    0    2.16942e-15    2.16942e-15    
2    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
2.5    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
3    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
3.5    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
4    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
4.5    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
5    1e+11    1e+11    0    0    -6.38065e-16    -6.38065e-16    
5.5    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
6    1e+11    1e+11    0    0    1.40374e-15    1.40374e-15    
6.5    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
7    1e+11    1e+11    0    0    1.0209e-15    1.0209e-15    
7.5    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
8    1e+11    1e+11    0    0    -5.10452e-16    -5.10452e-16    
8.5    1e+11    1e+11    0    0    0    0    
9    1e+11    1e+11    0    0    1.78658e-15    1.78658e-15    
9.5    1e+11    1e+11    0    0    5.10452e-16    5.10452e-16    
10    1e+11    1e+11    0    0    1.40374e-15    1.40374e-15    
10.5    1e+11    1e+11    0    0    1.78658e-15    1.78658e-15    
11    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
11.5    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
12    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
12.5    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
13    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
13.5    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
14    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
14.5    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
15    1e+11    1e+11    0    0    -7.65678e-16    -7.65678e-16    
15.5    1e+11    1e+11    0    0    -1.40374e-15    -1.40374e-15    
16    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
16.5    1e+11    1e+11    0    0    -5.10452e-16    -5.10452e-16    
17    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
17.5    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
18    1e+11    1e+11    0    0    -1.40374e-15    -1.40374e-15    
18.5    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
19    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
19.5    1e+11    1e+11    0    0    -1.53136e-15    -1.53136e-15    
20    1e+11    1e+11    0    0    1.40374e-15    1.40374e-15    
20.5    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
21    1e+11    1e+11    0    0    1.0209e-15    1.0209e-15    
21.5    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
22    1e+11    1e+11    0    0    -1.9142e-15    -1.9142e-15    
22.5    1e+11    1e+11    0    0    0    0    
23    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
23.5    1e+11    1e+11    0    0    5.10452e-16    5.10452e-16    
24    1e+11    1e+11    0    0    -1.40374e-15    -1.40374e-15    
24.5    1e+11    1e+11    0    0    8.93291e-16    8.93291e-16    
25    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
25.5    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
26    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
26.5    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
27    1e+11    1e+11    0    0    -5.10452e-16    -5.10452e-16    
27.5    1e+11    1e+11    0    0    2.9351e-15    2.9351e-15    
28    1e+11    1e+11    0    0    1.65897e-15    1.65897e-15    
28.5    1e+11    1e+11    0    0    -2.67987e-15    -2.67987e-15    
29    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
29.5    1e+11    1e+11    0    0    8.93291e-16    8.93291e-16    
30    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
30.5    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
31    1e+11    1e+11    0    0    -2.9351e-15    -2.9351e-15    
31.5    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
32    1e+11    1e+11    0    0    -2.04181e-15    -2.04181e-15    
32.5    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
33    1e+11    1e+11    0    0    0    0    
33.5    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
34    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
34.5    1e+11    1e+11    0    0    1.0209e-15    1.0209e-15    
35    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
35.5    1e+11    1e+11    0    0    -2.55226e-15    -2.55226e-15    
36    1e+11    1e+11    0    0    0    0    
36.5    1e+11    1e+11    0    0    0    0    
37    1e+11    1e+11    0    0    -2.04181e-15    -2.04181e-15    
37.5    1e+11    1e+11    0    0    -1.9142e-15    -1.9142e-15    
38    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
38.5    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
39    1e+11    1e+11    0    0    1.65897e-15    1.65897e-15    
39.5    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
40    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
40.5    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
41    1e+11    1e+11    0    0    -6.38065e-16    -6.38065e-16    
41.5    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
42    1e+11    1e+11    0    0    -1.0209e-15    -1.0209e-15    
42.5    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
43    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
43.5    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
44    1e+11    1e+11    0    0    8.93291e-16    8.93291e-16    
44.5    1e+11    1e+11    0    0    -2.16942e-15    -2.16942e-15    
45    1e+11    1e+11    0    0    -1.65897e-15    -1.65897e-15    
45.5    1e+11    1e+11    0    0    -1.40374e-15    -1.40374e-15    
46    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
46.5    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
47    1e+11    1e+11    0    0    -2.16942e-15    -2.16942e-15    
47.5    1e+11    1e+11    0    0    -1.27613e-15    -1.27613e-15    
48    1e+11    1e+11    0    0    1.78658e-15    1.78658e-15    
48.5    1e+11    1e+11    0    0    2.42465e-15    2.42465e-15    
49    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
49.5    1e+11    1e+11    0    0    -1.27613e-15    -1.27613e-15    
50    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
50.5    1e+11    1e+11    0    0    -1.65897e-15    -1.65897e-15    
51    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
51.5    1e+11    1e+11    0    0    0    0    
52    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
52.5    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
53    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
53.5    1e+11    1e+11    0    0    -1.53136e-15    -1.53136e-15    
54    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
54.5    1e+11    1e+11    0    0    -1.9142e-15    -1.9142e-15    
55    1e+11    1e+11    0    0    0    0    
55.5    1e+11    1e+11    0    0    2.80749e-15    2.80749e-15    
56    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
56.5    1e+11    1e+11    0    0    -2.04181e-15    -2.04181e-15    
57    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
57.5    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
58    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
58.5    1e+11    1e+11    0    0    -7.65678e-16    -7.65678e-16    
59    1e+11    1e+11    0    0    -8.93291e-16    -8.93291e-16    
59.5    1e+11    1e+11    0    0    -1.65897e-15    -1.65897e-15    
60    1e+11    1e+11    0    0    1.40374e-15    1.40374e-15    
60.5    1e+11    1e+11    0    0    -7.65678e-16    -7.65678e-16    
61    1e+11    1e+11    0    0    2.55226e-15    2.55226e-15    
61.5    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
62    1e+11    1e+11    0    0    -6.38065e-16    -6.38065e-16    
62.5    1e+11    1e+11    0    0    -5.10452e-16    -5.10452e-16    
63    1e+11    1e+11    0    0    -2.67987e-15    -2.67987e-15    
63.5    1e+11    1e+11    0    0    2.55226e-16    2.55226e-16    
64    1e+11    1e+11    0    0    8.93291e-16    8.93291e-16    
64.5    1e+11    1e+11    0    0    8.93291e-16    8.93291e-16    
65    1e+11    1e+11    0    0    1.78658e-15    1.78658e-15    
65.5    1e+11    1e+11    0    0    2.55226e-15    2.55226e-15    
66    1e+11    1e+11    0    0    -1.14852e-15    -1.14852e-15    
66.5    1e+11    1e+11    0    0    -1.9142e-15    -1.9142e-15    
67    1e+11    1e+11    0    0    -5.10452e-16    -5.10452e-16    
67.5    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
68    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
68.5    1e+11    1e+11    0    0    2.55226e-15    2.55226e-15    
69    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
69.5    1e+11    1e+11    0    0    -1.78658e-15    -1.78658e-15    
70    1e+11    1e+11    0    0    2.67987e-15    2.67987e-15    
70.5    1e+11    1e+11    0    0    0    0    
71    1e+11    1e+11    0    0    -2.04181e-15    -2.04181e-15    
71.5    1e+11    1e+11    0    0    -5.10452e-16    -5.10452e-16    
72    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
72.5    1e+11    1e+11    0    0    2.04181e-15    2.04181e-15    
73    1e+11    1e+11    0    0    8.93291e-16    8.93291e-16    
73.5    1e+11    1e+11    0    0    -2.42465e-15    -2.42465e-15    
74    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
74.5    1e+11    1e+11    0    0    1.65897e-15    1.65897e-15    
75    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
75.5    1e+11    1e+11    0    0    -2.16942e-15    -2.16942e-15    
76    1e+11    1e+11    0    0    3.31794e-15    3.31794e-15    
76.5    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
77    1e+11    1e+11    0    0    -1.78658e-15    -1.78658e-15    
77.5    1e+11    1e+11    0    0    1.78658e-15    1.78658e-15    
78    1e+11    1e+11    0    0    -1.0209e-15    -1.0209e-15    
78.5    1e+11    1e+11    0    0    -1.9142e-15    -1.9142e-15    
79    1e+11    1e+11    0    0    3.82839e-16    3.82839e-16    
79.5    1e+11    1e+11    0    0    2.04181e-15    2.04181e-15    
80    1e+11    1e+11    0    0    -1.78658e-15    -1.78658e-15    
80.5    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
81    1e+11    1e+11    0    0    -2.55226e-15    -2.55226e-15    
81.5    1e+11    1e+11    0    0    6.38065e-16    6.38065e-16    
82    1e+11    1e+11    0    0    -1.53136e-15    -1.53136e-15    
82.5    1e+11    1e+11    0    0    -2.67987e-15    -2.67987e-15    
83    1e+11    1e+11    0    0    -2.29704e-15    -2.29704e-15    
83.5    1e+11    1e+11    0    0    -2.67987e-15    -2.67987e-15    
84    1e+11    1e+11    0    0    -2.55226e-16    -2.55226e-16    
84.5    1e+11    1e+11    0    0    -3.82839e-16    -3.82839e-16    
85    1e+11    1e+11    0    0    -6.38065e-16    -6.38065e-16    
85.5    1e+11    1e+11    0    0    7.65678e-16    7.65678e-16    
86    1e+11    1e+11    0    0    0    0    
