#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
4    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
8    1e+11    1e+11    0    0    3.8284e-16    3.8284e-16    
12    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
16    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
20    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
24    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
28    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
32    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
36    1e+11    1e+11    0    0    0    0    
40    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
44    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
48    1e+11    1e+11    0    0    -3.8284e-16    -3.8284e-16    
52    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
56    1e+11    1e+11    0    0    1.78659e-15    1.78659e-15    
60    1e+11    1e+11    0    0    1.14852e-15    1.14852e-15    
64    1e+11    1e+11    0    0    1.02091e-15    1.02091e-15    
68    1e+11    1e+11    0    0    2.93511e-15    2.93511e-15    
72    1e+11    1e+11    0    0    3.19033e-15    3.19033e-15    
76    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
80    1e+11    1e+11    0    0    -1.78659e-15    -1.78659e-15    
84    1e+11    1e+11    0    0    1.02091e-15    1.02091e-15    
88    1e+11    1e+11    0    0    1.02091e-15    1.02091e-15    
92    1e+11    1e+11    0    0    -7.6568e-16    -7.6568e-16    
96    1e+11    1e+11    0    0    -5.10453e-16    -5.10453e-16    
100    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
104    1e+11    1e+11    0    0    2.29704e-15    2.29704e-15    
108    1e+11    1e+11    0    0    7.6568e-16    7.6568e-16    
112    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
116    1e+11    1e+11    0    0    1.02091e-15    1.02091e-15    
120    1e+11    1e+11    0    0    1.53136e-15    1.53136e-15    
124    1e+11    1e+11    0    0    7.6568e-16    7.6568e-16    
128    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
132    1e+11    1e+11    0    0    -8.93293e-16    -8.93293e-16    
136    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
140    1e+11    1e+11    0    0    2.67988e-15    2.67988e-15    
144    1e+11    1e+11    0    0    0    0    
148    1e+11    1e+11    0    0    -1.02091e-15    -1.02091e-15    
152    1e+11    1e+11    0    0    -1.65897e-15    -1.65897e-15    
156    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
160    1e+11    1e+11    0    0    -3.8284e-16    -3.8284e-16    
164    1e+11    1e+11    0    0    3.8284e-16    3.8284e-16    
168    1e+11    1e+11    0    0    -8.93293e-16    -8.93293e-16    
172    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
176    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
180    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
184    1e+11    1e+11    0    0    -1.40375e-15    -1.40375e-15    
188    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
192    1e+11    1e+11    0    0    0    0    
196    1e+11    1e+11    0    0    -6.38066e-16    -6.38066e-16    
200    1e+11    1e+11    0    0    0    0    
204    1e+11    1e+11    0    0    -1.40375e-15    -1.40375e-15    
208    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
212    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
216    1e+11    1e+11    0    0    1.9142e-15    1.9142e-15    
220    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
224    1e+11    1e+11    0    0    -3.8284e-16    -3.8284e-16    
228    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
232    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
236    1e+11    1e+11    0    0    -2.55227e-15    -2.55227e-15    
240    1e+11    1e+11    0    0    1.9142e-15    1.9142e-15    
244    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
248    1e+11    1e+11    0    0    2.16943e-15    2.16943e-15    
252    1e+11    1e+11    0    0    -1.78659e-15    -1.78659e-15    
256    1e+11    1e+11    0    0    3.06272e-15    3.06272e-15    
260    1e+11    1e+11    0    0    2.80749e-15    2.80749e-15    
264    1e+11    1e+11    0    0    5.10453e-16    5.10453e-16    
268    1e+11    1e+11    0    0    -3.8284e-16    -3.8284e-16    
272    1e+11    1e+11    0    0    1.27613e-16    1.27613e-16    
276    1e+11    1e+11    0    0    -2.04181e-15    -2.04181e-15    
280    1e+11    1e+11    0    0    1.65897e-15    1.65897e-15    
284    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
288    1e+11    1e+11    0    0    2.29704e-15    2.29704e-15    
292    1e+11    1e+11    0    0    1.78659e-15    1.78659e-15    
296    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
300    1e+11    1e+11    0    0    6.38066e-16    6.38066e-16    
304    1e+11    1e+11    0    0    1.40375e-15    1.40375e-15    
308    1e+11    1e+11    0    0    3.44556e-15    3.44556e-15    
312    1e+11    1e+11    0    0    -1.53136e-15    -1.53136e-15    
316    1e+11    1e+11    0    0    -3.8284e-16    -3.8284e-16    
320    1e+11    1e+11    0    0    -3.06272e-15    -3.06272e-15    
324    1e+11    1e+11    0    0    1.27613e-15    1.27613e-15    
328    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
332    1e+11    1e+11    0    0    -1.02091e-15    -1.02091e-15    
336    1e+11    1e+11    0    0    2.55227e-16    2.55227e-16    
340    1e+11    1e+11    0    0    1.65897e-15    1.65897e-15    
344    1e+11    1e+11    0    0    -2.29704e-15    -2.29704e-15    
348    1e+11    1e+11    0    0    -1.14852e-15    -1.14852e-15    
352    1e+11    1e+11    0    0    2.04181e-15    2.04181e-15    
356    1e+11    1e+11    0    0    2.67988e-15    2.67988e-15    
360    1e+11    1e+11    0    0    -1.27613e-16    -1.27613e-16    
