#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
1    1e+11    1e+11    -2.44141e-15    -2.44141e-15    7.67095e-16    7.67095e-16    
2    1e+11    1e+11    -3.50952e-15    -3.50952e-15    3.83548e-16    3.83548e-16    
3    1e+11    1e+11    -3.05176e-15    -3.05176e-15    1.27849e-16    1.27849e-16    
4    1e+11    1e+11    -3.05176e-15    -3.05176e-15    -3.83548e-16    -3.83548e-16    
5    1e+11    1e+11    0    0    5.11397e-16    5.11397e-16    
6    1e+11    1e+11    -2.59399e-15    -2.59399e-15    1.27849e-15    1.27849e-15    
7    1e+11    1e+11    -2.74658e-15    -2.74658e-15    2.55698e-16    2.55698e-16    
8    1e+11    1e+11    -1.98364e-15    -1.98364e-15    5.11397e-16    5.11397e-16    
9    1e+11    1e+11    -3.05176e-15    -3.05176e-15    -1.66204e-15    -1.66204e-15    
10    1e+11    1e+11    -2.28882e-15    -2.28882e-15    6.39246e-16    6.39246e-16    
11    1e+11    1e+11    -3.35693e-15    -3.35693e-15    5.11397e-16    5.11397e-16    
12    1e+11    1e+11    -3.66211e-15    -3.66211e-15    1.40634e-15    1.40634e-15    
13    1e+11    1e+11    -1.67847e-15    -1.67847e-15    5.11397e-16    5.11397e-16    
14    1e+11    1e+11    -4.11987e-15    -4.11987e-15    -1.27849e-15    -1.27849e-15    
15    1e+11    1e+11    -3.20435e-15    -3.20435e-15    0    0    
16    1e+11    1e+11    -5.79834e-15    -5.79834e-15    5.11397e-16    5.11397e-16    
17    1e+11    1e+11    -2.28882e-15    -2.28882e-15    -1.27849e-15    -1.27849e-15    
18    1e+11    1e+11    -2.13623e-15    -2.13623e-15    -2.55698e-16    -2.55698e-16    
19    1e+11    1e+11    -4.57764e-15    -4.57764e-15    1.02279e-15    1.02279e-15    
20    1e+11    1e+11    -3.05176e-16    -3.05176e-16    -1.27849e-16    -1.27849e-16    
21    1e+11    1e+11    -2.89917e-15    -2.89917e-15    1.27849e-15    1.27849e-15    
22    1e+11    1e+11    -1.83105e-15    -1.83105e-15    0    0    
23    1e+11    1e+11    -7.62939e-16    -7.62939e-16    -3.83548e-16    -3.83548e-16    
24    1e+11    1e+11    -5.0354e-15    -5.0354e-15    -6.39246e-16    -6.39246e-16    
25    1e+11    1e+11    7.62939e-16    7.62939e-16    3.83548e-16    3.83548e-16    
26    1e+11    1e+11    -4.73022e-15    -4.73022e-15    -7.67095e-16    -7.67095e-16    
27    1e+11    1e+11    -2.44141e-15    -2.44141e-15    2.42914e-15    2.42914e-15    
28    1e+11    1e+11    -2.59399e-15    -2.59399e-15    -8.94944e-16    -8.94944e-16    
29    1e+11    1e+11    -4.11987e-15    -4.11987e-15    -6.39246e-16    -6.39246e-16    
30    1e+11    1e+11    -1.52588e-16    -1.52588e-16    1.02279e-15    1.02279e-15    
31    1e+11    1e+11    -2.74658e-15    -2.74658e-15    -3.83548e-16    -3.83548e-16    
32    1e+11    1e+11    -1.98364e-15    -1.98364e-15    8.94944e-16    8.94944e-16    
33    1e+11    1e+11    -2.13623e-15    -2.13623e-15    -1.27849e-16    -1.27849e-16    
34    1e+11    1e+11    -4.27246e-15    -4.27246e-15    1.02279e-15    1.02279e-15    
35    1e+11    1e+11    -4.11987e-15    -4.11987e-15    -6.39246e-16    -6.39246e-16    
36    1e+11    1e+11    -2.13623e-15    -2.13623e-15    -1.40634e-15    -1.40634e-15    
37    1e+11    1e+11    -9.15527e-16    -9.15527e-16    5.11397e-16    5.11397e-16    
38    1e+11    1e+11    -3.35693e-15    -3.35693e-15    -7.67095e-16    -7.67095e-16    
39    1e+11    1e+11    -1.83105e-15    -1.83105e-15    2.55698e-16    2.55698e-16    
40    1e+11    1e+11    -2.13623e-15    -2.13623e-15    1.27849e-16    1.27849e-16    
41    1e+11    1e+11    -5.0354e-15    -5.0354e-15    1.15064e-15    1.15064e-15    
42    1e+11    1e+11    -2.59399e-15    -2.59399e-15    -1.78989e-15    -1.78989e-15    
43    1e+11    1e+11    6.10352e-16    6.10352e-16    -1.27849e-15    -1.27849e-15    
44    1e+11    1e+11    -1.52588e-15    -1.52588e-15    7.67095e-16    7.67095e-16    
45    1e+11    1e+11    0    0    1.27849e-16    1.27849e-16    
46    1e+11    1e+11    -3.05176e-15    -3.05176e-15    -6.39246e-16    -6.39246e-16    
47    1e+11    1e+11    -2.44141e-15    -2.44141e-15    -5.11397e-16    -5.11397e-16    
48    1e+11    1e+11    -3.8147e-15    -3.8147e-15    -8.94944e-16    -8.94944e-16    
49    1e+11    1e+11    -2.74658e-15    -2.74658e-15    1.66204e-15    1.66204e-15    
50    1e+11    1e+11    -2.44141e-15    -2.44141e-15    6.39246e-16    6.39246e-16    
51    1e+11    1e+11    -1.83105e-15    -1.83105e-15    -5.11397e-16    -5.11397e-16    
52    1e+11    1e+11    -6.10352e-15    -6.10352e-15    -1.27849e-15    -1.27849e-15    
53    1e+11    1e+11    -6.10352e-16    -6.10352e-16    1.27849e-16    1.27849e-16    
54    1e+11    1e+11    -4.57764e-16    -4.57764e-16    -1.27849e-16    -1.27849e-16    
55    1e+11    1e+11    -2.44141e-15    -2.44141e-15    -7.67095e-16    -7.67095e-16    
56    1e+11    1e+11    -2.28882e-15    -2.28882e-15    -1.27849e-16    -1.27849e-16    
57    1e+11    1e+11    3.05176e-16    3.05176e-16    1.15064e-15    1.15064e-15    
58    1e+11    1e+11    -3.20435e-15    -3.20435e-15    2.55698e-16    2.55698e-16    
59    1e+11    1e+11    -9.15527e-16    -9.15527e-16    8.94944e-16    8.94944e-16    
60    1e+11    1e+11    -2.28882e-15    -2.28882e-15    8.94944e-16    8.94944e-16    
61    1e+11    1e+11    -1.52588e-15    -1.52588e-15    -2.55698e-16    -2.55698e-16    
62    1e+11    1e+11    6.10352e-16    6.10352e-16    1.27849e-16    1.27849e-16    
63    1e+11    1e+11    -3.8147e-15    -3.8147e-15    2.55698e-16    2.55698e-16    
64    1e+11    1e+11    -2.13623e-15    -2.13623e-15    8.94944e-16    8.94944e-16    
65    1e+11    1e+11    -1.67847e-15    -1.67847e-15    1.78989e-15    1.78989e-15    
66    1e+11    1e+11    -3.66211e-15    -3.66211e-15    7.67095e-16    7.67095e-16    
67    1e+11    1e+11    -2.13623e-15    -2.13623e-15    1.15064e-15    1.15064e-15    
68    1e+11    1e+11    -1.83105e-15    -1.83105e-15    -8.94944e-16    -8.94944e-16    
69    1e+11    1e+11    -3.20435e-15    -3.20435e-15    -7.67095e-16    -7.67095e-16    
70    1e+11    1e+11    -1.37329e-15    -1.37329e-15    0    0    
71    1e+11    1e+11    1.52588e-15    1.52588e-15    0    0    
72    1e+11    1e+11    -1.83105e-15    -1.83105e-15    1.27849e-15    1.27849e-15    
73    1e+11    1e+11    -2.89917e-15    -2.89917e-15    1.27849e-16    1.27849e-16    
74    1e+11    1e+11    -1.83105e-15    -1.83105e-15    -7.67095e-16    -7.67095e-16    
75    1e+11    1e+11    -1.37329e-15    -1.37329e-15    -1.27849e-16    -1.27849e-16    
76    1e+11    1e+11    -3.20435e-15    -3.20435e-15    2.55698e-16    2.55698e-16    
77    1e+11    1e+11    -7.62939e-16    -7.62939e-16    1.40634e-15    1.40634e-15    
78    1e+11    1e+11    -1.2207e-15    -1.2207e-15    -1.27849e-16    -1.27849e-16    
79    1e+11    1e+11    -4.73022e-15    -4.73022e-15    6.39246e-16    6.39246e-16    
80    1e+11    1e+11    -3.05176e-15    -3.05176e-15    -1.27849e-16    -1.27849e-16    
81    1e+11    1e+11    -6.10352e-16    -6.10352e-16    8.94944e-16    8.94944e-16    
82    1e+11    1e+11    -2.74658e-15    -2.74658e-15    5.11397e-16    5.11397e-16    
83    1e+11    1e+11    -4.57764e-15    -4.57764e-15    5.11397e-16    5.11397e-16    
84    1e+11    1e+11    -3.20435e-15    -3.20435e-15    1.53419e-15    1.53419e-15    
85    1e+11    1e+11    -7.62939e-16    -7.62939e-16    -2.55698e-16    -2.55698e-16    
