#time Tmin Tmax uniTmin uniTmax Amin Amax
0.5	-0.000607659 0.998316	0.999996 1	1 1
1	-0.000642112 0.998461	0.999879 1.00008	1 1
1.5	-0.000770177 0.998625	0.999852 1.00011	1 1
2	-0.000846778 0.998721	0.999771 1.00017	1 1
2.5	-0.000994864 0.998502	0.99973 1.00022	1 1
3	-0.00110258 0.998234	0.999692 1.00027	1 1
3.5	-0.00117619 0.997626	0.99968 1.00031	1 1
4	-0.00125738 0.997245	0.999665 1.00035	1 1
4.5	-0.00131711 0.998013	0.999664 1.00038	1 1
5	-0.00141807 0.998512	0.999655 1.00042	1 1
5.5	-0.00152959 0.998861	0.999641 1.00045	1 1
6	-0.00162416 0.999022	0.999627 1.00048	1 1
6.5	-0.00168059 0.999015	0.999611 1.00051	1 1
7	-0.00172931 0.998894	0.999592 1.00054	1 1
7.5	-0.00173804 0.99855	0.999574 1.00057	1 1
8	-0.00177011 0.998047	0.999541 1.00059	1 1
8.5	-0.0019006 0.997796	0.999518 1.00062	1 1
9	-0.0020099 0.998541	0.9995 1.00064	1 1
9.5	-0.0020875 0.999046	0.999485 1.00067	1 1
10	-0.00214344 0.999369	0.999473 1.00069	1 1
10.5	-0.00216741 0.999512	0.999461 1.00072	1 1
11	-0.0021667 0.999475	0.999439 1.00074	1 1
11.5	-0.00217106 0.999339	0.999411 1.00078	1 1
12	-0.00224511 0.999033	0.999384 1.0008	1 1
12.5	-0.00237433 0.998513	0.999361 1.00082	1 1
13	-0.00246934 0.998385	0.999341 1.00083	1 1
13.5	-0.00252858 0.999081	0.999319 1.00085	1 1
14	-0.0025599 0.999544	0.999294 1.00086	1 1
14.5	-0.00255673 0.999817	0.99927 1.00087	1 1
15	-0.00254374 0.999894	0.999245 1.0009	1 1
15.5	-0.00253451 0.999838	0.999224 1.00092	1 1
16	-0.00264293 0.999671	0.999205 1.00094	1 1
16.5	-0.00276392 0.999303	0.999189 1.00096	1 1
17	-0.00285266 0.998729	0.999176 1.00097	1 1
17.5	-0.00291042 0.99861	0.999165 1.00098	1 1
18	-0.00292506 0.999206	0.999147 1.001	1 1
18.5	-0.00291115 0.999628	0.999124 1.00102	1 1
19	-0.00287728 0.999855	0.999103 1.00104	1 1
19.5	-0.00285556 0.999903	0.999084 1.00105	1 1
20	-0.00295363 0.999793	0.999067 1.00106	1 1
20.5	-0.00308159 0.999523	0.999052 1.00107	1 1
21	-0.00318163 0.999069	0.999035 1.00107	1 1
21.5	-0.00324661 0.99845	0.999017 1.00107	1 1
22	-0.00327002 0.998195	0.998998 1.00108	1 1
22.5	-0.00324625 0.998719	0.998983 1.00108	1 1
23	-0.00319979 0.999062	0.998969 1.00109	1 1
23.5	-0.00315585 0.999212	0.998955 1.00109	1 1
24	-0.00319144 0.999178	0.998935 1.00109	1 1
24.5	-0.00333899 0.998986	0.998916 1.00109	1 1
25	-0.0034546 0.998642	0.998898 1.00109	1 1
25.5	-0.0035403 0.998135	0.998883 1.00108	1 1
26	-0.00358608 0.997458	0.998869 1.0011	1 1
26.5	-0.00358829 0.996882	0.998848 1.00112	1 1
27	-0.00355163 0.997268	0.998827 1.00114	1 1
27.5	-0.00351513 0.997824	0.998808 1.00115	1 1
28	-0.00348418 0.998351	0.998791 1.00117	1 1
28.5	-0.00350744 0.998704	0.998775 1.00118	1 1
29	-0.00365353 0.998868	0.998758 1.0012	1 1
29.5	-0.00376574 0.998918	0.998743 1.00122	1 1
30	-0.00384439 0.998762	0.998733 1.00123	1 1
30.5	-0.00388823 0.998394	0.998728 1.00124	1 1
31	-0.00389663 0.997832	0.998725 1.00125	1 1
31.5	-0.00387498 0.998561	0.998723 1.00125	1 1
32	-0.00384418 0.99913	0.99872 1.00126	1 1
32.5	-0.00381991 0.999537	0.99872 1.00127	1 1
33	-0.0037902 0.999742	0.998724 1.00127	1 1
33.5	-0.00391947 0.999764	0.998729 1.00127	1 1
