#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
0.125    1e+11    1e+11    -1.70517e-12    -1.70517e-12    -1.14849e-15    -1.14849e-15    
0.25    1e+11    1e+11    2.34398e-10    2.34398e-10    -5.10439e-15    -5.10439e-15    
0.375    1e+11    1e+11    2.82187e-10    2.82187e-10    2.6798e-15    2.6798e-15    
0.5    1e+11    1e+11    4.44317e-10    4.44317e-10    -3.82829e-15    -3.82829e-15    
0.625    1e+11    1e+11    5.10384e-10    5.10384e-10    -1.2761e-15    -1.2761e-15    
0.75    1e+11    1e+11    6.29774e-10    6.29774e-10    3.82829e-16    3.82829e-16    
0.875    1e+11    1e+11    7.16301e-10    7.16301e-10    2.29698e-15    2.29698e-15    
1    1e+11    1e+11    8.1264e-10    8.1264e-10    3.06263e-15    3.06263e-15    
1.125    1e+11    1e+11    9.07393e-10    9.07393e-10    -2.93502e-15    -2.93502e-15    
1.25    1e+11    1e+11    9.86071e-10    9.86071e-10    -2.5522e-16    -2.5522e-16    
1.375    1e+11    1e+11    1.05437e-09    1.05437e-09    7.65659e-16    7.65659e-16    
1.5    1e+11    1e+11    1.11475e-09    1.11475e-09    3.06263e-15    3.06263e-15    
1.625    1e+11    1e+11    1.1575e-09    1.1575e-09    6.38049e-16    6.38049e-16    
1.75    1e+11    1e+11    1.16268e-09    1.16268e-09    -9.06029e-15    -9.06029e-15    
1.875    1e+11    1e+11    1.13636e-09    1.13636e-09    -1.0464e-14    -1.0464e-14    
2    1e+11    1e+11    1.08881e-09    1.08881e-09    -2.6798e-15    -2.6798e-15    
2.125    1e+11    1e+11    1.0333e-09    1.0333e-09    -4.46634e-15    -4.46634e-15    
2.25    1e+11    1e+11    9.61768e-10    9.61768e-10    -5.35961e-15    -5.35961e-15    
2.375    1e+11    1e+11    8.46594e-10    8.46594e-10    -4.46634e-15    -4.46634e-15    
2.5    1e+11    1e+11    7.27776e-10    7.27776e-10    2.16937e-15    2.16937e-15    
2.625    1e+11    1e+11    5.91612e-10    5.91612e-10    -5.232e-15    -5.232e-15    
2.75    1e+11    1e+11    4.16972e-10    4.16972e-10    -6.38049e-16    -6.38049e-16    
2.875    1e+11    1e+11    2.47109e-10    2.47109e-10    -4.08351e-15    -4.08351e-15    
3    1e+11    1e+11    5.7916e-11    5.7916e-11    5.61483e-15    5.61483e-15    
3.125    1e+11    1e+11    -1.17005e-10    -1.17005e-10    -7.65659e-16    -7.65659e-16    
3.25    1e+11    1e+11    -2.90989e-10    -2.90989e-10    1.2761e-16    1.2761e-16    
3.375    1e+11    1e+11    -4.66694e-10    -4.66694e-10    -8.29463e-15    -8.29463e-15    
3.5    1e+11    1e+11    -6.45917e-10    -6.45917e-10    8.42224e-15    8.42224e-15    
3.625    1e+11    1e+11    -8.32377e-10    -8.32377e-10    -5.10439e-15    -5.10439e-15    
3.75    1e+11    1e+11    -1.01247e-09    -1.01247e-09    -3.70068e-15    -3.70068e-15    
3.875    1e+11    1e+11    -1.23875e-09    -1.23875e-09    -1.16125e-14    -1.16125e-14    
