#time Tmin Tmax uniTmin uniTmax Amin Amax
0.5	-0.000607659 0.998316	1 1	0.999996 1
1	-0.000642112 0.998461	1 1	0.999871 1.00009
1.5	-0.000770177 0.998625	1 1	0.999832 1.00012
2	-0.000846778 0.998721	1 1	0.999732 1.00018
2.5	-0.000994864 0.998502	1 1	0.999665 1.00022
3	-0.00110258 0.998234	1 1	0.999596 1.00027
3.5	-0.00117619 0.997626	1 1	0.999548 1.00032
4	-0.00125738 0.997245	1 1	0.999495 1.00036
4.5	-0.00131711 0.998013	1 1	0.999454 1.0004
5	-0.00141807 0.998512	1 1	0.999417 1.00045
5.5	-0.00152959 0.998861	1 1	0.999386 1.00048
6	-0.00162416 0.999022	1 1	0.999356 1.00053
6.5	-0.00168059 0.999015	1 1	0.999327 1.00057
7	-0.00172931 0.998894	1 1	0.999299 1.00062
7.5	-0.00173804 0.99855	1 1	0.999264 1.00066
8	-0.00177011 0.998047	1 1	0.999208 1.0007
8.5	-0.0019006 0.997796	1 1	0.999159 1.00073
9	-0.0020099 0.998541	1 1	0.999111 1.00076
9.5	-0.0020875 0.999046	1 1	0.999064 1.0008
10	-0.00214344 0.999369	1 1	0.999017 1.00082
10.5	-0.00216741 0.999512	1 1	0.998973 1.00085
11	-0.0021667 0.999475	1 1	0.998936 1.00089
11.5	-0.00217106 0.999339	1 1	0.998905 1.00092
12	-0.00224511 0.999033	1 1	0.998886 1.00095
12.5	-0.00237433 0.998513	1 1	0.998876 1.00097
13	-0.00246934 0.998385	1 1	0.99887 1.00099
13.5	-0.00252858 0.999081	1 1	0.998866 1.00102
14	-0.0025599 0.999544	1 1	0.998865 1.00107
14.5	-0.00255673 0.999817	1 1	0.998867 1.00111
15	-0.00254374 0.999894	1 1	0.998851 1.00116
15.5	-0.00253451 0.999838	1 1	0.998814 1.00121
16	-0.00264293 0.999671	1 1	0.998782 1.00125
16.5	-0.00276392 0.999303	1 1	0.998759 1.00128
17	-0.00285266 0.998729	1 1	0.998743 1.00131
17.5	-0.00291042 0.99861	1 1	0.998734 1.00135
18	-0.00292506 0.999206	1 1	0.998731 1.00139
18.5	-0.00291115 0.999628	1 1	0.998701 1.00143
19	-0.00287728 0.999855	1 1	0.99865 1.00146
19.5	-0.00285556 0.999903	1 1	0.998607 1.0015
20	-0.00295363 0.999793	1 1	0.998573 1.00153
20.5	-0.00308159 0.999523	1 1	0.998548 1.00156
21	-0.00318163 0.999069	1 1	0.998532 1.00158
21.5	-0.00324661 0.99845	1 1	0.998515 1.00161
22	-0.00327002 0.998195	1 1	0.998499 1.00163
22.5	-0.00324625 0.998719	1 1	0.998487 1.00166
23	-0.00319979 0.999062	1 1	0.998477 1.00167
23.5	-0.00315585 0.999212	1 1	0.99847 1.00169
24	-0.00319144 0.999178	1 1	0.998465 1.00171
24.5	-0.00333899 0.998986	1 1	0.998466 1.00173
25	-0.0034546 0.998642	1 1	0.99845 1.00174
25.5	-0.0035403 0.998135	1 1	0.998398 1.00175
26	-0.00358608 0.997458	1 1	0.998353 1.00176
26.5	-0.00358829 0.996882	1 1	0.998321 1.00177
27	-0.00355163 0.997268	1 1	0.998293 1.00178
27.5	-0.00351513 0.997824	1 1	0.998273 1.00181
28	-0.00348418 0.998351	1 1	0.998261 1.00184
28.5	-0.00350744 0.998704	1 1	0.998253 1.00188
29	-0.00365353 0.998868	1 1	0.998226 1.00193
29.5	-0.00376574 0.998918	1 1	0.998204 1.00198
30	-0.00384439 0.998762	1 1	0.998192 1.00201
30.5	-0.00388823 0.998394	1 1	0.998184 1.00204
31	-0.00389663 0.997832	1 1	0.99818 1.00207
31.5	-0.00387498 0.998561	1 1	0.998175 1.0021
32	-0.00384418 0.99913	1 1	0.998173 1.00215
32.5	-0.00381991 0.999537	1 1	0.998145 1.0022
