#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
0.5    1e+11    1e+11    2.66785e-12    7.62939e-16    1.65942e-15    1.53177e-15    
1    1e+11    1e+11    5.40144e-08    6.10352e-16    1.02118e-15    5.1059e-16    
1.5    1e+11    1e+11    6.56818e-08    -4.73022e-15    1.65942e-15    8.93532e-16    
2    1e+11    1e+11    8.37958e-08    -6.56128e-15    -2.55295e-16    5.1059e-16    
2.5    1e+11    1e+11    1.00526e-07    -6.56128e-15    3.06354e-15    3.06354e-15    
3    1e+11    1e+11    1.12547e-07    -3.66211e-15    3.06354e-15    2.4253e-15    
3.5    1e+11    1e+11    1.29033e-07    -8.39233e-15    3.82942e-16    3.82942e-16    
4    1e+11    1e+11    1.4034e-07    2.13623e-15    5.1059e-16    2.55295e-16    
4.5    1e+11    1e+11    1.41748e-07    -1.06812e-15    -1.27647e-16    5.1059e-16    
5    1e+11    1e+11    1.45491e-07    -3.35693e-15    2.93589e-15    2.04236e-15    
5.5    1e+11    1e+11    1.48271e-07    -1.52588e-16    2.6806e-15    2.80824e-15    
6    1e+11    1e+11    1.48954e-07    -1.06812e-15    1.14883e-15    1.65942e-15    
6.5    1e+11    1e+11    1.51521e-07    -4.88281e-15    2.6806e-15    2.55295e-15    
7    1e+11    1e+11    1.61263e-07    -3.8147e-15    2.4253e-15    2.29765e-15    
7.5    1e+11    1e+11    1.79899e-07    1.06812e-15    2.04236e-15    1.27647e-15    
8    1e+11    1e+11    1.95591e-07    -3.05176e-16    3.06354e-15    1.53177e-15    
8.5    1e+11    1e+11    2.08404e-07    -4.73022e-15    3.70178e-15    2.6806e-15    
9    1e+11    1e+11    2.20962e-07    -3.05176e-15    3.06354e-15    2.04236e-15    
9.5    1e+11    1e+11    2.33202e-07    -9.61304e-15    4.34001e-15    4.72296e-15    
10    1e+11    1e+11    2.48964e-07    -5.79834e-15    -1.27647e-15    2.80824e-15    
10.5    1e+11    1e+11    2.65861e-07    3.05176e-15    -7.2759e-15    2.80824e-15    
11    1e+11    1e+11    2.82145e-07    -1.11389e-14    -2.01683e-14    -2.55295e-16    
11.5    1e+11    1e+11    2.93127e-07    -9.91821e-15    -3.53583e-14    6.38237e-16    
12    1e+11    1e+11    3.04304e-07    -3.8147e-15    -5.57819e-14    2.80824e-15    
12.5    1e+11    1e+11    3.10061e-07    -9.61304e-15    -8.73108e-14    1.27647e-15    
13    1e+11    1e+11    3.14491e-07    -2.44141e-15    -1.24584e-13    2.29765e-15    
13.5    1e+11    1e+11    3.18432e-07    2.89917e-15    -1.64793e-13    -8.93532e-16    
14    1e+11    1e+11    3.23519e-07    -1.06812e-15    -2.05385e-13    1.78706e-15    
14.5    1e+11    1e+11    3.2897e-07    -2.44141e-15    -2.3551e-13    1.53177e-15    
15    1e+11    1e+11    3.31911e-07    -4.73022e-15    -2.39211e-13    -8.93532e-16    
15.5    1e+11    1e+11    3.26949e-07    2.59399e-15    -1.6709e-13    1.14883e-15    
16    1e+11    1e+11    3.12838e-07    -6.71387e-15    1.71048e-14    2.55295e-15    
16.5    1e+11    1e+11    2.96177e-07    -2.74658e-15    3.37883e-13    7.65885e-16    
17    1e+11    1e+11    2.73278e-07    6.10352e-16    8.47324e-13    3.82942e-16    
17.5    1e+11    1e+11    2.4639e-07    -1.02234e-14    1.61193e-12    2.4253e-15    
18    1e+11    1e+11    2.20476e-07    -2.44141e-15    2.72783e-12    2.17001e-15    
18.5    1e+11    1e+11    1.98792e-07    -4.27246e-15    4.26764e-12    8.93532e-16    
19    1e+11    1e+11    1.76098e-07    -9.15527e-16    6.27208e-12    -1.27647e-16    
19.5    1e+11    1e+11    1.54618e-07    -4.57764e-15    8.72751e-12    4.97825e-15    
20    1e+11    1e+11    1.31387e-07    -7.47681e-15    1.15442e-11    2.55295e-15    
20.5    1e+11    1e+11    1.08154e-07    1.52588e-16    1.46151e-11    4.34001e-15    
21    1e+11    1e+11    8.57682e-08    -3.35693e-15    1.77307e-11    6.38237e-16    
21.5    1e+11    1e+11    6.43145e-08    -6.56128e-15    2.06532e-11    3.44648e-15    
22    1e+11    1e+11    4.92468e-08    -4.11987e-15    2.30804e-11    -1.40412e-15    
22.5    1e+11    1e+11    3.68126e-08    -1.67847e-15    2.43738e-11    1.27647e-15    
23    1e+11    1e+11    2.8598e-08    1.98364e-15    2.38052e-11    3.06354e-15    
23.5    1e+11    1e+11    2.40187e-08    -3.96729e-15    2.06674e-11    8.93532e-16    
24    1e+11    1e+11    2.44275e-08    -3.50952e-15    1.40195e-11    4.46766e-15    
24.5    1e+11    1e+11    2.91486e-08    -6.10352e-15    2.40986e-12    0    
25    1e+11    1e+11    3.86318e-08    -4.73022e-15    -1.52779e-11    0    
25.5    1e+11    1e+11    5.23567e-08    -6.86646e-15    -4.04913e-11    1.53177e-15    
26    1e+11    1e+11    6.51723e-08    -8.23975e-15    -7.47594e-11    5.1059e-16    
26.5    1e+11    1e+11    7.70558e-08    -7.78198e-15    -1.17636e-10    3.82942e-16    
27    1e+11    1e+11    8.6144e-08    0    -1.71678e-10    8.93532e-16    
27.5    1e+11    1e+11    9.59213e-08    -7.62939e-15    -2.37052e-10    1.78706e-15    
28    1e+11    1e+11    1.09323e-07    -1.12915e-14    -3.14113e-10    1.02118e-15    
28.5    1e+11    1e+11    1.32211e-07    3.05176e-16    -4.04831e-10    1.65942e-15    
29    1e+11    1e+11    1.66407e-07    -1.52588e-15    -5.11343e-10    1.91471e-15    
29.5    1e+11    1e+11    2.0371e-07    -8.23975e-15    -6.27705e-10    1.14883e-15    
30    1e+11    1e+11    2.38088e-07    -7.93457e-15    -7.4036e-10    2.6806e-15    
30.5    1e+11    1e+11    2.74583e-07    -4.73022e-15    -8.52007e-10    1.27647e-15    
31    1e+11    1e+11    3.08019e-07    -4.57764e-15    -9.57176e-10    1.78706e-15    
31.5    1e+11    1e+11    3.45142e-07    4.57764e-16    -1.05651e-09    1.65942e-15    
32    1e+11    1e+11    3.85119e-07    -2.89917e-15    -1.14309e-09    2.6806e-15    
32.5    1e+11    1e+11    4.19787e-07    -7.93457e-15    -1.19646e-09    -7.65885e-16    
33    1e+11    1e+11    4.46892e-07    1.37329e-15    -1.19735e-09    4.59531e-15    
33.5    1e+11    1e+11    4.78466e-07    -6.56128e-15    -1.14142e-09    1.27647e-15    
34    1e+11    1e+11    5.14478e-07    -2.74658e-15    -1.01111e-09    -5.1059e-15    
34.5    1e+11    1e+11    5.49724e-07    -4.57764e-15    -7.97457e-10    3.06354e-15    
35    1e+11    1e+11    5.83062e-07    -8.54492e-15    -4.76482e-10    2.04236e-15    
35.5    1e+11    1e+11    6.17698e-07    -5.34058e-15    -2.37508e-11    6.38237e-16    
36    1e+11    1e+11    6.51978e-07    -6.40869e-15    5.57049e-10    -5.1059e-16    
36.5    1e+11    1e+11    6.83049e-07    -1.98364e-15    1.27588e-09    1.27647e-15    
37    1e+11    1e+11    7.14735e-07    -7.93457e-15    2.17205e-09    1.65942e-15    
37.5    1e+11    1e+11    7.48617e-07    -3.05176e-15    3.26851e-09    -1.53177e-15    
38    1e+11    1e+11    7.7649e-07    -1.67847e-15    4.56658e-09    8.93532e-16    
38.5    1e+11    1e+11    8.02268e-07    -7.62939e-15    6.11011e-09    -5.1059e-16    
39    1e+11    1e+11    8.29024e-07    0    7.89074e-09    2.29765e-15    
39.5    1e+11    1e+11    8.54371e-07    -3.20435e-15    9.83711e-09    5.1059e-16    
