#time mag RMS inf sum variance min max
0 1 1 1 1 0 1 1
50 0.999998 0.999998 1.00377 0.999998 8.88511e-08 0.997012 1.00377
100 1.00001 1.00001 1.01177 1.00001 3.55935e-07 0.993763 1.01177
150 1 1 1.0086 1 2.75556e-07 0.996202 1.0086
200 0.999992 0.999992 1.00529 0.999992 2.44445e-07 0.996296 1.00529
250 0.999999 0.999999 1.00609 0.999999 3.71309e-07 0.993633 1.00609
300 1 1 1.00678 1 5.20249e-07 0.99232 1.00678
350 1.00001 1.00001 1.00735 1.00001 6.96045e-07 0.991485 1.00735
400 0.999983 0.999983 1.00806 0.999983 7.90152e-07 0.990976 1.00806
450 0.999993 0.999993 1.00842 0.999993 6.6947e-07 0.990887 1.00842
500 0.999997 0.999997 1.0091 0.999997 6.28799e-07 0.99029 1.0091
550 1 1 1.00956 1 7.34551e-07 0.990151 1.00956
600 1 1 1.01017 1 8.59894e-07 0.990001 1.01017
650 0.999998 0.999998 1.01162 0.999998 1.02027e-06 0.989326 1.01162
700 1.00001 1.00001 1.01567 1.00001 1.20071e-06 0.988583 1.01567
750 1 1 1.01085 1 8.44947e-07 0.992838 1.01085
800 0.999992 0.999993 1.00834 0.999992 7.79005e-07 0.993654 1.00834
850 0.999999 1 1.00883 0.999999 9.04747e-07 0.990705 1.00883
900 1 1 1.00927 1 1.04308e-06 0.989644 1.00927
950 1.00001 1.00001 1.00975 1.00001 1.18062e-06 0.989011 1.00975
1000 0.999982 0.999983 1.01016 0.999982 1.20844e-06 0.988686 1.01016
1050 0.999993 0.999993 1.01049 0.999993 1.04287e-06 0.988648 1.01049
1100 0.999996 0.999996 1.01094 0.999996 9.78749e-07 0.988183 1.01094
1150 1 1 1.0113 1 1.07627e-06 0.988169 1.0113
1200 1 1 1.01185 1 1.18992e-06 0.988213 1.01185
1250 0.999997 0.999998 1.01319 0.999997 1.33064e-06 0.98765 1.01319
1300 1.00001 1.00001 1.01626 1.00001 1.45596e-06 0.987153 1.01626
1350 1 1 1.01138 1 1.05672e-06 0.991809 1.01138
1400 0.999992 0.999993 1.0091 0.999992 9.80474e-07 0.992897 1.0091
1450 0.999999 1 1.00966 0.999999 1.09432e-06 0.989855 1.00966
1500 1 1 1.01004 1 1.22851e-06 0.988849 1.01004
1550 1.00001 1.00001 1.01042 1.00001 1.3547e-06 0.988255 1.01042
1600 0.999982 0.999983 1.01076 0.999982 1.35576e-06 0.987984 1.01076
1650 0.999993 0.999993 1.01111 0.999993 1.18981e-06 0.987869 1.01111
1700 0.999995 0.999996 1.01152 0.999995 1.1228e-06 0.987517 1.01152
1750 1 1 1.01189 1 1.21526e-06 0.987524 1.01189
1800 1 1 1.01241 1 1.32505e-06 0.98753 1.01241
