#time Tmin Tmax uniTmin uniTmax Amin Amax Avar
0.5	-0.000607659 0.998316	1 1	0.999996 1	1.19441e-13
1	-0.000642112 0.998461	1 1	0.999871 1.00009	4.82629e-11
1.5	-0.000770177 0.998625	1 1	0.999832 1.00012	7.98831e-11
2	-0.000846778 0.998721	1 1	0.999732 1.00018	1.87853e-10
2.5	-0.000994864 0.998502	1 1	0.999665 1.00022	3.0383e-10
3	-0.00110258 0.998234	1 1	0.999596 1.00027	4.55595e-10
3.5	-0.00117619 0.997626	1 1	0.999548 1.00032	6.01798e-10
4	-0.00125738 0.997245	1 1	0.999495 1.00036	7.93208e-10
4.5	-0.00131711 0.998013	1 1	0.999454 1.0004	9.70535e-10
5	-0.00141807 0.998512	1 1	0.999417 1.00045	1.17861e-09
5.5	-0.00152959 0.998861	1 1	0.999386 1.00048	1.40081e-09
6	-0.00162416 0.999022	1 1	0.999356 1.00053	1.66292e-09
6.5	-0.00168059 0.999015	1 1	0.999327 1.00057	1.96233e-09
7	-0.00172931 0.998894	1 1	0.999299 1.00062	2.32648e-09
7.5	-0.00173804 0.99855	1 1	0.999264 1.00066	2.66328e-09
8	-0.00177011 0.998047	1 1	0.999208 1.0007	3.02534e-09
8.5	-0.0019006 0.997796	1 1	0.999159 1.00073	3.36515e-09
9	-0.0020099 0.998541	1 1	0.999111 1.00076	3.7173e-09
9.5	-0.0020875 0.999046	1 1	0.999064 1.0008	4.10428e-09
10	-0.00214344 0.999369	1 1	0.999017 1.00082	4.53028e-09
10.5	-0.00216741 0.999512	1 1	0.998973 1.00085	4.99491e-09
11	-0.0021667 0.999475	1 1	0.998936 1.00089	5.51934e-09
11.5	-0.00217106 0.999339	1 1	0.998905 1.00092	6.10796e-09
12	-0.00224511 0.999033	1 1	0.998886 1.00095	6.64111e-09
12.5	-0.00237433 0.998513	1 1	0.998876 1.00097	7.13792e-09
13	-0.00246934 0.998385	1 1	0.99887 1.00099	7.63021e-09
13.5	-0.00252858 0.999081	1 1	0.998866 1.00102	8.13058e-09
14	-0.0025599 0.999544	1 1	0.998865 1.00107	8.71553e-09
14.5	-0.00255673 0.999817	1 1	0.998867 1.00111	9.31992e-09
15	-0.00254374 0.999894	1 1	0.998851 1.00116	1.00225e-08
15.5	-0.00253451 0.999838	1 1	0.998814 1.00121	1.06835e-08
16	-0.00264293 0.999671	1 1	0.998782 1.00125	1.13652e-08
16.5	-0.00276392 0.999303	1 1	0.998759 1.00128	1.19909e-08
17	-0.00285266 0.998729	1 1	0.998743 1.00131	1.25909e-08
17.5	-0.00291042 0.99861	1 1	0.998734 1.00135	1.32192e-08
18	-0.00292506 0.999206	1 1	0.998731 1.00139	1.39147e-08
18.5	-0.00291115 0.999628	1 1	0.998701 1.00143	1.46379e-08
19	-0.00287728 0.999855	1 1	0.99865 1.00146	1.53529e-08
19.5	-0.00285556 0.999903	1 1	0.998607 1.0015	1.60835e-08
20	-0.00295363 0.999793	1 1	0.998573 1.00153	1.6822e-08
20.5	-0.00308159 0.999523	1 1	0.998548 1.00156	1.75485e-08
21	-0.00318163 0.999069	1 1	0.998532 1.00158	1.82384e-08
21.5	-0.00324661 0.99845	1 1	0.998515 1.00161	1.89637e-08
22	-0.00327002 0.998195	1 1	0.998499 1.00163	1.97556e-08
22.5	-0.00324625 0.998719	1 1	0.998487 1.00166	2.05123e-08
23	-0.00319979 0.999062	1 1	0.998477 1.00167	2.12456e-08
23.5	-0.00315585 0.999212	1 1	0.99847 1.00169	2.20191e-08
24	-0.00319144 0.999178	1 1	0.998465 1.00171	2.28562e-08
24.5	-0.00333899 0.998986	1 1	0.998466 1.00173	2.37516e-08
25	-0.0034546 0.998642	1 1	0.99845 1.00174	2.46542e-08
25.5	-0.0035403 0.998135	1 1	0.998398 1.00175	2.55627e-08
26	-0.00358608 0.997458	1 1	0.998353 1.00176	2.64893e-08
26.5	-0.00358829 0.996882	1 1	0.998321 1.00177	2.73153e-08
27	-0.00355163 0.997268	1 1	0.998293 1.00178	2.81708e-08
27.5	-0.00351513 0.997824	1 1	0.998273 1.00181	2.90581e-08
28	-0.00348418 0.998351	1 1	0.998261 1.00184	2.99536e-08
28.5	-0.00350744 0.998704	1 1	0.998253 1.00188	3.09727e-08
29	-0.00365353 0.998868	1 1	0.998226 1.00193	3.2189e-08
29.5	-0.00376574 0.998918	1 1	0.998204 1.00198	3.33817e-08
30	-0.00384439 0.998762	1 1	0.998192 1.00201	3.43925e-08
30.5	-0.00388823 0.998394	1 1	0.998184 1.00204	3.53346e-08
31	-0.00389663 0.997832	1 1	0.99818 1.00207	3.62429e-08
31.5	-0.00387498 0.998561	1 1	0.998175 1.0021	3.72904e-08
32	-0.00384418 0.99913	1 1	0.998173 1.00215	3.84998e-08
32.5	-0.00381991 0.999537	1 1	0.998145 1.0022	3.96778e-08
33	-0.0037902 0.999742	1 1	0.998112 1.00224	4.0797e-08
33.5	-0.00391947 0.999764	1 1	0.998079 1.00228	4.19507e-08
34	-0.00402162 0.999644	1 1	0.998046 1.00233	4.31259e-08
34.5	-0.00410605 0.999341	1 1	0.998014 1.00237	4.42677e-08
35	-0.00416121 0.998849	1 1	0.997981 1.00241	4.54173e-08
35.5	-0.00417564 0.998209	1 1	0.997946 1.00246	4.66996e-08
36	-0.00417938 0.998038	1 1	0.997912 1.00251	4.79326e-08
36.5	-0.00416535 0.998499	1 1	0.997883 1.00255	4.90319e-08
37	-0.00412829 0.99873	1 1	0.997851 1.00259	5.02279e-08
37.5	-0.00411752 0.998791	1 1	0.997816 1.00263	5.15373e-08
38	-0.0041201 0.998675	1 1	0.997784 1.00268	5.27997e-08
38.5	-0.00423628 0.9984	1 1	0.997747 1.00272	5.42095e-08
39	-0.00432104 0.997979	1 1	0.99771 1.00277	5.56761e-08
39.5	-0.0043881 0.997469	1 1	0.997677 1.00282	5.69946e-08
40	-0.00442945 0.997265	1 1	0.997647 1.00285	5.81869e-08
40.5	-0.00444328 0.996874	1 1	0.99762 1.00289	5.93065e-08
41	-0.00444488 0.997809	1 1	0.997591 1.00292	6.04889e-08
41.5	-0.00443716 0.998443	1 1	0.997556 1.00297	6.1909e-08
42	-0.00440852 0.998992	1 1	0.997522 1.00301	6.3296e-08
42.5	-0.00440237 0.999352	1 1	0.997489 1.00305	6.46502e-08
43	-0.00438317 0.999515	1 1	0.997455 1.0031	6.60642e-08
43.5	-0.00448736 0.999504	1 1	0.997424 1.00313	6.74505e-08
44	-0.00456418 0.999339	1 1	0.997392 1.00317	6.88637e-08
44.5	-0.00462467 0.998982	1 1	0.99736 1.00322	7.03305e-08
45	-0.00466549 0.998457	1 1	0.997324 1.00327	7.2011e-08
45.5	-0.00468283 0.997807	1 1	0.99729 1.00331	7.36631e-08
46	-0.00469136 0.998306	1 1	0.997258 1.00335	7.52144e-08
46.5	-0.00468866 0.998621	1 1	0.997228 1.00339	7.67557e-08
47	-0.00467615 0.998719	1 1	0.997196 1.00345	7.84452e-08
47.5	-0.00466314 0.998633	1 1	0.997163 1.00351	8.01935e-08
48	-0.00464739 0.998396	1 1	0.997128 1.00357	8.20872e-08
48.5	-0.00468586 0.998015	1 1	0.997094 1.00363	8.3977e-08
49	-0.00476152 0.997634	1 1	0.997064 1.00368	8.57535e-08
49.5	-0.00481912 0.997633	1 1	0.997037 1.00373	8.73669e-08
