#time   totalV   totalAV   Vchange   AVchange   Tchange   ATchange
0    1e+11    1e+11    0    0    0    0    
0.125    1e+11    1e+11    -1.70517e-12    6.40869e-15    -2.29698e-15    -1.91415e-15    
0.25    1e+11    1e+11    2.34397e-10    -1.72424e-14    -5.61483e-15    -2.29698e-15    
0.375    1e+11    1e+11    2.82177e-10    4.27246e-15    -2.29698e-15    -3.57307e-15    
0.5    1e+11    1e+11    4.44325e-10    1.78528e-14    -8.42224e-15    -6.5081e-15    
0.625    1e+11    1e+11    5.1038e-10    -1.05286e-14    -3.70068e-15    -4.59395e-15    
0.75    1e+11    1e+11    6.29776e-10    -1.15967e-14    0    1.02088e-15    
0.875    1e+11    1e+11    7.16302e-10    -1.2207e-15    3.06263e-15    4.59395e-15    
1    1e+11    1e+11    8.12647e-10    1.72424e-14    -8.93268e-16    6.38049e-16    
1.125    1e+11    1e+11    9.07386e-10    -1.5564e-14    3.57307e-15    3.19024e-15    
1.25    1e+11    1e+11    9.86073e-10    2.74658e-15    1.53132e-15    2.04176e-15    
1.375    1e+11    1e+11    1.05438e-09    -8.23975e-15    2.5522e-16    -8.93268e-16    
1.5    1e+11    1e+11    1.11475e-09    -1.96838e-14    -2.93502e-15    -3.44546e-15    
1.625    1e+11    1e+11    1.15749e-09    4.73022e-15    -3.19024e-15    -2.04176e-15    
1.75    1e+11    1e+11    1.16266e-09    -2.42615e-14    -2.5522e-16    2.5522e-16    
1.875    1e+11    1e+11    1.13634e-09    -6.40869e-15    6.38049e-16    6.38049e-16    
2    1e+11    1e+11    1.08883e-09    -5.95093e-15    -1.00812e-14    -8.16702e-15    
2.125    1e+11    1e+11    1.03331e-09    -1.67847e-15    -4.46634e-15    -4.59395e-15    
2.25    1e+11    1e+11    9.61779e-10    -3.66211e-15    -1.2761e-15    -1.2761e-16    
2.375    1e+11    1e+11    8.46603e-10    -6.2561e-15    -6.38049e-16    3.82829e-16    
2.5    1e+11    1e+11    7.2778e-10    -1.7395e-14    -7.27376e-15    -7.01854e-15    
2.625    1e+11    1e+11    5.91603e-10    -1.89209e-14    5.99766e-15    5.232e-15    
2.75    1e+11    1e+11    4.1697e-10    -4.11987e-15    1.53132e-15    2.16937e-15    
2.875    1e+11    1e+11    2.47116e-10    -1.12915e-14    -2.04176e-15    -3.06263e-15    
3    1e+11    1e+11    5.79225e-11    -9.15527e-15    2.5522e-16    2.04176e-15    
3.125    1e+11    1e+11    -1.17023e-10    -4.88281e-14    -2.5522e-15    -3.82829e-15    
3.25    1e+11    1e+11    -2.90984e-10    -6.10352e-15    4.97678e-15    4.21112e-15    
